"K J Flanagan & Co. Ltd.",,,,,,,Date : 08 MAR 2022,10:08:11
,,,,C U T T E R S,,DAILY TOTALS,Page : 1    
"User",Date,Hour,Time,Roll No.,Orig_Roll,Trandesc,Product Description,Quantity,Total,Cuts,Remeasures,Supplier,Cus. Ref.,Customer_Name
"DT",01/03/22,08,08:30:35,247674.2,247674,Cut Bench Program,CAPRI CAMEO 1300 4M,2.13,1,1,0,JUT101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:34:04,248923.2,248923,Cut Bench Program,PARADISE 71 4M A/B,2.25,1,1,0,BET101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:37:02,249108.3,249108,Cut Bench Program,FAIRMONT 74 4M A/B,0.65,1,1,0,CON801,,
"DT",01/03/22,08,08:38:05,249108.4,249108,Cut Bench Program,FAIRMONT 74 4M A/B,5.50,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:38:54,249108.5,249108,Cut Bench Program,FAIRMONT 74 4M A/B,0.80,1,1,0,CON801,SA999,SAMPLING
"DT",01/03/22,08,08:43:32,248221.7,248221,Cut Bench Program,FAIRMONT 76 4M A/B,0.65,1,1,0,CON801,,
"DT",01/03/22,08,08:43:37,248221.8,248221,Cut Bench Program,FAIRMONT 76 4M A/B,3.20,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:46:06,247471.4,247471,Cut Bench Program,FLORIDA KEYS 77 SILVER 5M FELT,2.29,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:46:37,247246.5,247246,Cut Bench Program,SUPERIOR TWIST 92 4M A/B,0.65,1,1,0,CON801,,
"DT",01/03/22,08,08:47:27,247246.6,247246,Cut Bench Program,SUPERIOR TWIST 92 4M A/B,4.00,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:50:13,246067.6,246067,Cut Bench Program,PARADISE 75 4M A/B,4.15,1,1,0,BET101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:56:33,249107.1,249107,Cut Bench Program,FAIRMONT 74 4M A/B,4.45,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:58:31,249107.2,249107,Cut Bench Program,FAIRMONT 74 4M A/B,,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:59:21,249107.3,249107,Cut Bench Program,FAIRMONT 74 4M A/B,3.20,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:03:43,249494.1,249494,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,4.80,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:05:10,249494.2,249494,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:07:33,249494.3,249494,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:11:31,249494.4,249494,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:13:15,249494.5,249494,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,3.51,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:13:58,249494.6,249494,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:19:27,249479.1,249479,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,4.50,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:20:24,248245.4,248245,Cut Bench Program,FAIRMONT 77 5M A/B,5.94,1,1,0,CON801,TE100,Teds Carpets & Furniture
"DT",01/03/22,09,09:20:30,249479.2,249479,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,2.44,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:21:46,249479.3,249479,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:23:23,249479.4,249479,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:24:12,249479.5,249479,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:26:44,249479.6,249479,Cut Bench Program,FLORIDA KEYS 73 BEIGE 4M FELT,,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:29:44,248574.4,248574,Cut Bench Program,NEW ORKNEY HEATHERS A/B 73 4M,7.01,1,1,0,CON801,CE100,Central Carpets (NI) Ltd
"DT",01/03/22,09,09:33:09,247651.4,247651,Cut Bench Program,IONA HEATHERS 76 4M A/B,3.40,1,1,0,BET101,TE100,Teds Carpets & Furniture
"DT",01/03/22,09,09:35:35,248563.2,248563,Cut Bench Program,FAIRMONT 77 4M A/B,0.65,1,1,0,CON801,,
"DT",01/03/22,09,09:37:04,248563.3,248563,Cut Bench Program,FAIRMONT 77 4M A/B,1.83,1,1,0,CON801,TE100,Teds Carpets & Furniture
"DT",01/03/22,09,09:39:18,246868.2,246868,Cut Bench Program,HARRIS HEATHERS 90 4M A/B,2.67,1,1,0,CON801,LY100,J A Lyttle
"DT",01/03/22,09,09:42:22,248852.3,248852,Cut Bench Program,EAGLE 940 CLOUD BURST 4M FELT,4.88,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:45:54,247704.2,247704,Cut Bench Program,ROCKEFELLER WASHED OAK 979E 3M,8.23,1,1,0,JUT101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,09,09:47:53,248245.5,248245,Cut Bench Program,FAIRMONT 77 5M A/B,6.20,1,1,0,CON801,TE100,Teds Carpets & Furniture
"DT",01/03/22,09,09:49:14,,247704,Remeasure,ROCKEFELLER WASHED OAK 979E 3M,0.00,1,0,1,JUT101,,
"DT",01/03/22,09,09:52:17,245327.6,245327,Cut Bench Program,AVIEMORE TWIST 22 CLARET 4M A/B,3.20,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,10,10:16:30,247581.5,247581,Cut Bench Program,CLASSIC CHARM HEATHERS 960 4M A/B,2.74,1,1,0,BAL601,MC205,MCGALE FURNITURE & FLOORING
"DT",01/03/22,10,10:17:57,,247581,Remeasure,CLASSIC CHARM HEATHERS 960 4M A/B,0.00,1,0,1,BAL601,,
"DT",01/03/22,10,10:21:02,247361.2,247361,Cut Bench Program,ARTEMIS TAVEL 571 3M,5.40,1,1,0,IVC201,JY100,YOUNGS CARPETS LTD
"DT",01/03/22,10,10:24:01,246891.2,246891,Cut Bench Program,MIDTOWN LUXURY 5375 4M A/B,0.65,1,1,0,CON801,SA999,SAMPLING
"DT",01/03/22,10,10:24:59,246891.3,246891,Cut Bench Program,MIDTOWN LUXURY 5375 4M A/B,3.66,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,10,10:28:29,247889.2,247889,Cut Bench Program,JURA HEATHERS F/B 90 5M,8.30,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,10,10:29:31,246591.2,246591,Cut Bench Program,POWERTEX CALAIS 596 4M,13.00,1,1,0,IVC201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,10,10:39:00,249378.3,249378,Cut Bench Program,SOFT SPLENDID 68 4M FELT,3.66,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,10,10:41:43,249502.2,249502,Cut Bench Program,HARRIS HEATHERS 74 4M A/B,4.00,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,10,10:44:40,238537.3,238537,Cut Bench Program,UTOPIA 75 SMOKE 5M A/B,6.80,1,1,0,CON801,FL180,Flanagan Flooring Distributors (Scotland
"DT",01/03/22,10,10:45:39,245709.2,245709,Cut Bench Program,ORION HOLLY OAK 001S 4M,4.19,1,1,0,BIG201,CH120,Chatsworth Carpets Flooring Ltd
"DT",01/03/22,10,10:48:39,249404.2,249404,Cut Bench Program,AIM HIGH 925 LAVA 4M FELT,4.27,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,10,10:52:43,248074.5,248074,Cut Bench Program,SOFT NOBLE FELT 900 GREY MARE 4M,1.53,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,10,10:55:33,,248074,Remeasure,SOFT NOBLE FELT 900 GREY MARE 4M,0.00,1,0,1,BAL601,,
"DT",01/03/22,10,10:57:47,249633.1,249633,Cut Bench Program,VINTAGE OAK COLL LIME OAK 621L 4M,6.71,1,1,0,FLA101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,10,10:59:05,249633.2,249633,Cut Bench Program,VINTAGE OAK COLL LIME OAK 621L 4M,,1,1,0,FLA101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,11,11:00:10,249633.3,249633,Cut Bench Program,VINTAGE OAK COLL LIME OAK 621L 4M,,1,1,0,FLA101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,11,11:02:41,249633.4,249633,Cut Bench Program,VINTAGE OAK COLL LIME OAK 621L 4M,,1,1,0,FLA101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,11,11:10:02,247589.5,247589,Cut Bench Program,EMPEROR 77 SLATE 4M FELT,4.10,1,1,0,BET101,PH150,PHILLIPS HEATING & STOVES LTD
"DT",01/03/22,11,11:11:19,,247589,Remeasure,EMPEROR 77 SLATE 4M FELT,0.00,1,0,1,BET101,,
"DT",01/03/22,11,11:14:56,246834.3,246834,Cut Bench Program,RUSTIC COLL ELBURG 779M 4M,1.90,1,1,0,FLA101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,11,11:16:14,,246834,Remeasure,RUSTIC COLL ELBURG 779M 4M,0.00,1,0,1,FLA101,,
"DT",01/03/22,11,11:18:02,247454.7,247454,Cut Bench Program,HERMES BELLAGGIO 591 2M,2.00,1,1,0,IVC201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,11,11:21:39,248807.5,248807,Cut Bench Program,SOFT SPLENDID 76 4M FELT,2.29,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,11,11:25:13,248249.2,248249,Cut Bench Program,HAMPTON COURT STRIPE 575 4M A/B,0.65,1,1,0,CON801,,
"DT",01/03/22,11,11:26:50,248249.3,248249,Cut Bench Program,HAMPTON COURT STRIPE 575 4M A/B,6.70,1,1,0,CON801,PH150,PHILLIPS HEATING & STOVES LTD
"DT",01/03/22,11,11:26:53,249510.1,249510,Cut Bench Program,FAIRMONT 291 5M A/B,5.87,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,11,11:28:47,239429.4,239429,Cut Bench Program,EMPEROR 71 GREY 4M FELT,7.00,1,1,0,BET101,PH150,PHILLIPS HEATING & STOVES LTD
"DT",01/03/22,11,11:32:26,235328.5,235328,Cut Bench Program,POWERTEX CALAIS 596 3M,3.30,1,1,0,IVC201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,11,11:35:07,,235328,Remeasure,POWERTEX CALAIS 596 3M,0.00,1,0,1,IVC201,,
"DT",01/03/22,11,11:39:21,249008.3,249008,Cut Bench Program,INFINITY GRASS AURELIE 5013 30MM 4M,1.00,1,1,0,CLA201,KE126,Keys Mcmahon (Omagh)
"DT",01/03/22,11,11:42:17,235271.1,235271,Cut Bench Program,OBSESSION SILK 224 SOFT TAUPE 4M A/B,5.79,1,1,0,MWE101,LY100,J A Lyttle
"DT",01/03/22,11,11:45:16,240601.1,240601,Cut Bench Program,HERMES VIDIMUS 597 2M,1.10,1,1,0,IVC201,PR101,Prestige Flooring
"DT",01/03/22,11,11:49:13,249392.1,249392,Cut Bench Program,NOBLE HEATHERS 995 PIRATE BLACK 4M FELT,5.30,1,1,0,BAL601,PH150,PHILLIPS HEATING & STOVES LTD
"DT",01/03/22,11,11:52:08,247735.1,247735,Cut Bench Program,ROCKEFELLER DEVON 970M 4M,1.83,1,1,0,JUT101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,11,11:55:27,246894.1,246894,Cut Bench Program,JURA HEATHERS F/B 240 4M,3.05,1,1,0,CON801,CA105,Lynchs Flooring
"DT",01/03/22,11,11:56:56,246894.2,246894,Cut Bench Program,JURA HEATHERS F/B 240 4M,3.35,1,1,0,CON801,CA105,Lynchs Flooring
"DT",01/03/22,11,11:59:59,247962.4,247962,Cut Bench Program,ROCKEFELLER TRENTINO 994D 4M,3.66,1,1,0,JUT101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,12,12:02:13,,247962,Remeasure,ROCKEFELLER TRENTINO 994D 4M,0.00,1,0,1,JUT101,,
"DT",01/03/22,12,12:04:06,248506.3,248506,Cut Bench Program,SOFT NOBLE FELT 950 SILVER CLOUD 4M,3.73,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,12,12:05:20,248506.4,248506,Cut Bench Program,SOFT NOBLE FELT 950 SILVER CLOUD 4M,2.51,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,12,12:08:06,244677.5,244677,Cut Bench Program,AVIEMORE TWIST 72 NATURAL 4M A/B,6.25,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,12,12:11:10,247661.1,247661,Cut Bench Program,PARADISE 78 4M A/B,3.05,1,1,0,BET101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,12,12:13:07,247661.2,247661,Cut Bench Program,PARADISE 78 4M A/B,3.66,1,1,0,BET101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,12,12:14:30,247661.3,247661,Cut Bench Program,PARADISE 78 4M A/B,3.55,1,1,0,BET101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,12,12:18:06,248805.4,248805,Cut Bench Program,AFFINITY 990 4M FELT,11.00,1,1,0,BAL601,PR101,Prestige Flooring
"DT",01/03/22,12,12:21:28,249395.4,249395,Cut Bench Program,SOFT NOBLE FELT 700 BRUSHED COTTON 4M,3.05,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,12,12:23:32,,249395,Remeasure,SOFT NOBLE FELT 700 BRUSHED COTTON 4M,0.00,1,0,1,BAL601,,
"DT",01/03/22,12,12:26:19,247837.4,247837,Cut Bench Program,HARRIS HEATHERS 174 4M A/B,3.55,1,1,0,CON801,HO115,Holywood Flooring
"DT",01/03/22,12,12:29:18,247837.5,247837,Cut Bench Program,HARRIS HEATHERS 174 4M A/B,,1,1,0,CON801,HO115,Holywood Flooring
"DT",01/03/22,12,12:31:47,246962.4,246962,Cut Bench Program,NOBLE DREAMS 69 SCROLL BEIGE 4M FELT,5.03,1,1,0,BAL601,RF100,REGENT FLOORING
"DT",01/03/22,12,12:34:46,248310.2,248310,Cut Bench Program,VINTAGE OAK COLL PURE OAK 010L 4M,3.51,1,1,0,BIG201,RF100,REGENT FLOORING
"DT",01/03/22,12,12:38:36,244699.4,244699,Cut Bench Program,OPULENCE 71 BUTTERMILK 4M A/B,4.60,1,1,0,CON801,FA100,Farrells Carpets & Vinyls
"DT",01/03/22,12,12:41:25,248695.10,248695,Cut Bench Program,ARTEMIS EVORA 594 3M,4.34,1,1,0,IVC201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,12,12:43:12,247471.5,247471,Cut Bench Program,FLORIDA KEYS 77 SILVER 5M FELT,2.75,1,1,0,CON801,IN110,Innstyle Furnishings
"DT",01/03/22,12,12:45:13,244909.7,244909,Cut Bench Program,RUSTIC COLL CROUCH OAK 170M 3M,2.20,1,1,0,BIG201,RF100,REGENT FLOORING
"DT",01/03/22,12,12:48:05,,244909,Remeasure,RUSTIC COLL CROUCH OAK 170M 3M,0.00,1,0,1,BIG201,,
"DT",01/03/22,12,12:50:00,249525.2,249525,Cut Bench Program,FAIRMONT 291 4M A/B,0.65,1,1,0,CON801,,
"DT",01/03/22,12,12:50:25,249525.3,249525,Cut Bench Program,FAIRMONT 291 4M A/B,3.20,1,1,0,CON801,FL180,Flanagan Flooring Distributors (Scotland
"DT",01/03/22,12,12:52:54,249525.4,249525,Cut Bench Program,FAIRMONT 291 4M A/B,4.30,1,1,0,CON801,FL180,Flanagan Flooring Distributors (Scotland
"DT",01/03/22,12,12:54:27,249525.5,249525,Cut Bench Program,FAIRMONT 291 4M A/B,2.00,1,1,0,CON801,FL180,Flanagan Flooring Distributors (Scotland
"DT",01/03/22,12,12:56:17,241337.4,241337,Cut Bench Program,HAMPTON COURT 77 5M A/B,3.51,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,13,13:48:44,249525.6,249525,Cut Bench Program,FAIRMONT 291 4M A/B,4.19,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,13,13:51:22,248311.1,248311,Cut Bench Program,VINTAGE OAK COLL LIME OAK 621L 3M,6.80,1,1,0,BIG201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,13,13:53:50,249108.6,249108,Cut Bench Program,FAIRMONT 74 4M A/B,3.05,1,1,0,CON801,CI100,City Flooring Centre
"DT",01/03/22,13,13:56:42,241776.5,241776,Cut Bench Program,VINTAGE OAK COLL HAVANNA OAK 019S 3M,3.12,1,1,0,BIG201,TE100,Teds Carpets & Furniture
"DT",01/03/22,14,14:00:22,,241776,Remeasure,VINTAGE OAK COLL HAVANNA OAK 019S 3M,0.00,1,0,1,BIG201,,
"DT",01/03/22,14,14:02:20,249039.1,249039,Cut Bench Program,INFINITY GRASS SIENNA 5925 39MM 4M,20.00,1,1,0,CLA201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,14,14:08:21,249427.1,249427,Cut Bench Program,SOFT SPLENDID 97 4M FELT,7.00,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,14,14:08:57,249427.2,249427,Cut Bench Program,SOFT SPLENDID 97 4M FELT,3.00,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,14,14:11:33,248305.1,248305,Cut Bench Program,VINTAGE OAK COLL LIME OAK 621L 4M,4.88,1,1,0,BIG201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,14,14:12:26,248187.5,248187,Cut Bench Program,NOBLE DREAMS 62 CASUAL ELEGANCE 5M FELT,3.05,1,1,0,BAL601,CA155,Carpet Centre Glendermott Road
"DT",01/03/22,14,14:12:35,248305.2,248305,Cut Bench Program,VINTAGE OAK COLL LIME OAK 621L 4M,4.88,1,1,0,BIG201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,14,14:14:06,248305.3,248305,Cut Bench Program,VINTAGE OAK COLL LIME OAK 621L 4M,3.73,1,1,0,BIG201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,14,14:17:52,248736.7,248736,Cut Bench Program,ARTEMIS ALASKA 581 4M,3.80,1,1,0,IVC201,EX105,M & P QUIGLEY
"DT",01/03/22,14,14:18:56,248736.8,248736,Cut Bench Program,ARTEMIS ALASKA 581 4M,3.20,1,1,0,IVC201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,14,14:21:57,,248736,Remeasure,ARTEMIS ALASKA 581 4M,0.00,1,0,1,IVC201,,
"DT",01/03/22,14,14:23:53,249307.3,249307,Cut Bench Program,ROCKEFELLER POLPERRO 190L 3M,4.27,1,1,0,JUT101,FL190,Flanagan Flooring Ireland
"DT",01/03/22,14,14:27:46,,249307,Remeasure,ROCKEFELLER POLPERRO 190L 3M,0.00,1,0,1,JUT101,,
"DT",01/03/22,14,14:29:29,248395.6,248395,Cut Bench Program,ORION MIDAS 139L 4M,4.50,1,1,0,BIG201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,14,14:34:01,239224.3,239224,Cut Bench Program,GATSBY YORVIK 940M 2M,2.13,1,1,0,JUT101,MC205,MCGALE FURNITURE & FLOORING
"DT",01/03/22,14,14:37:26,249484.1,249484,Cut Bench Program,FLORIDA KEYS 182 DELFT 4M FELT,14.00,1,1,0,CON801,DP101,Depot Cash sales
"DT",01/03/22,14,14:41:38,247755.2,247755,Cut Bench Program,GATSBY PRISM 994D 3M,6.10,1,1,0,JUT101,DP101,Depot Cash sales
"DT",01/03/22,14,14:54:07,246950.1,246950,Cut Bench Program,CLASSIC CHARM 720 4M A/B,5.25,1,1,0,BAL601,FL190,Flanagan Flooring Ireland
"DT",01/03/22,16,16:04:46,249241.6,249241,Cut Bench Program,ARTEMIS SORBONNE 591 2M,4.11,1,1,0,IVC201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,16,16:20:29,243595.3,243595,Cut Bench Program,SUPERIOR TWIST 82 4M A/B,2.44,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,16,16:21:35,243595.4,243595,Cut Bench Program,SUPERIOR TWIST 82 4M A/B,0.65,1,1,0,CON801,,
,,,,,,,,,--------,--------,--------
"DT",01/03/22,,,,,,,,136,122,14
"DT",02/03/22,08,08:05:36,248358.5,248358,Cut Bench Program,ORION MIDAS 139L 2M,5.03,1,1,0,BIG201,FL190,Flanagan Flooring Ireland
"DT",02/03/22,08,08:09:59,248758.3,248758,Cut Bench Program,ARTEMIS ALASKA 536 4M,7.32,1,1,0,IVC201,FL190,Flanagan Flooring Ireland
"DT",02/03/22,08,08:13:19,245709.3,245709,Cut Bench Program,ORION HOLLY OAK 001S 4M,4.19,1,1,0,BIG201,CH120,Chatsworth Carpets Flooring Ltd
"DT",02/03/22,08,08:16:23,248946.4,248946,Cut Bench Program,POWERTEX NAVARA 581 4M,1.68,1,1,0,FLA101,CH120,Chatsworth Carpets Flooring Ltd
"DT",02/03/22,08,08:18:48,,248946,Remeasure,POWERTEX NAVARA 581 4M,0.00,1,0,1,FLA101,,
"DT",02/03/22,08,08:26:40,245544.2,245544,Cut Bench Program,ARTEMIS TASMANIA 533 4M,2.97,1,1,0,IVC201,CH120,Chatsworth Carpets Flooring Ltd
"DT",02/03/22,08,08:29:54,,245544,Remeasure,ARTEMIS TASMANIA 533 4M,0.00,1,0,1,IVC201,,
"DT",02/03/22,08,08:33:00,247867.1,247867,Cut Bench Program,UTOPIA 71 COIN 4M A/B,5.20,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",02/03/22,08,08:35:23,247867.2,247867,Cut Bench Program,UTOPIA 71 COIN 4M A/B,2.75,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",02/03/22,08,08:38:43,247867.3,247867,Cut Bench Program,UTOPIA 71 COIN 4M A/B,2.45,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",02/03/22,08,08:43:26,244699.5,244699,Cut Bench Program,OPULENCE 71 BUTTERMILK 4M A/B,4.95,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",02/03/22,08,08:45:49,244699.6,244699,Cut Bench Program,OPULENCE 71 BUTTERMILK 4M A/B,3.51,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",02/03/22,08,08:49:08,,244699,Remeasure,OPULENCE 71 BUTTERMILK 4M A/B,0.00,1,0,1,CON801,,
"DT",02/03/22,08,08:54:43,248301.5,248301,Cut Bench Program,VINTAGE OAK COLL LIME OAK 621L 3M,3.12,1,1,0,BIG201,FL190,Flanagan Flooring Ireland
"DT",02/03/22,08,08:57:01,,248301,Remeasure,VINTAGE OAK COLL LIME OAK 621L 3M,0.00,1,0,1,BIG201,,
"DT",02/03/22,08,08:57:42,,244762,Remeasure,CAPRI LARA 8409 3M,,1,0,1,JUT101,,
"DT",02/03/22,08,08:58:35,,244762.6,Remeasure,CAPRI LARA 8409 3M,,1,0,1,JUT101,,
"DT",02/03/22,09,09:01:18,240984.3,240984,Cut Bench Program,ISLA TWIST 70 LIGHT GOLD 4M FELT,4.00,1,1,0,BET101,,
"DT",02/03/22,09,09:04:41,243766.6,243766,Cut Bench Program,HERMES VIDIMUS 597 4M,2.36,1,1,0,IVC201,FL180,Flanagan Flooring Distributors (Scotland
"DT",02/03/22,09,09:07:43,248575.5,248575,Cut Bench Program,IMPULSE 91 CHIFFON 4M A/B,6.20,1,1,0,CON801,FL180,Flanagan Flooring Distributors (Scotland
"DT",02/03/22,09,09:10:40,245329.2,245329,Cut Bench Program,ENCHANTED A/B 75 4M,3.70,1,1,0,CON801,FL180,Flanagan Flooring Distributors (Scotland
"DT",02/03/22,09,09:10:52,244762.7,244762,Cut Bench Program,CAPRI LARA 8409 3M,2.00,1,1,0,JUT101,RI110,Right Price Carpets
