"K J Flanagan & Co. Ltd.",,,,,,,Date : 08 MAR 2022,10:08:11
,,,,C U T T E R S,,DAILY TOTALS,Page : 1    
"User",Date,Hour,Time,Roll No.,Orig_Roll,Trandesc,Product Description,Quantity,Total,Cuts,Remeasures,Supplier,Cus. Ref.,Customer_Name
"DB",02/03/22,09,09:46:40,,238407,Remeasure,ARTEMIS TORONTO 505 2M,0.00,1,0,1,IVC201,,
"DB",02/03/22,14,14:37:40,,245354,Remeasure,MIDTOWN LUXURY 5275 4M A/B,,1,0,1,CON801,,
,,,,,,,,,--------,--------,--------
"DB",02/03/22,,,,,,,,2,0,2
"DB",07/03/22,09,09:15:20,,245006,Remeasure,ORION PATIO 960D 2M,0.00,1,0,1,BIG201,,
,,,,,,,,,--------,--------,--------
"DB",07/03/22,,,,,,,,1,0,1
,,,,,,,,,--------,--------,--------
"DB", ,,,,,,,,3,0,3
"DT",01/03/22,08,08:02:00,247181.1,247181,Cut Bench Program,ORION OAK CHEVRON 009S 3M,4.70,1,1,0,BIG201,,
"DT",01/03/22,08,08:05:20,249395.3,249395,Cut Bench Program,SOFT NOBLE FELT 700 BRUSHED COTTON 4M,4.20,1,1,0,BAL601,TM100,T M FLOORING
"DT",01/03/22,08,08:07:56,246568.5,246568,Cut Bench Program,ARTEMIS ALASKA 581 3M,3.18,1,1,0,IVC201,,
"DT",01/03/22,08,08:10:32,246869.2,246869,Cut Bench Program,MIDTOWN LUXURY 5275 4M A/B,2.34,1,1,0,CON801,,
"DT",01/03/22,08,08:12:55,247554.1,247554,Cut Bench Program,SOFT SPLENDID 92 5M FELT,4.40,1,1,0,BAL601,PR101,Prestige Flooring
"DT",01/03/22,08,08:12:55,246895.2,246895,Cut Bench Program,MIDTOWN ELITE 72 4M A/B,4.95,1,1,0,CON801,,
"DT",01/03/22,08,08:16:07,248565.1,248565,Cut Bench Program,UTOPIA 91 GRANOLA 4M A/B,4.65,1,1,0,CON801,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:19:44,248318.2,248318,Cut Bench Program,VINTAGE OAK COLL LIME OAK 609M 4M,2.85,1,1,0,BIG201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:22:36,244097.5,244097,Cut Bench Program,VINTAGE OAK COLL LIME OAK 609M 3M,5.10,1,1,0,BIG201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:24:47,,244097,Remeasure,VINTAGE OAK COLL LIME OAK 609M 3M,0.00,1,0,1,BIG201,,
"DT",01/03/22,08,08:27:05,242937.10,242937,Cut Bench Program,VINTAGE OAK COLL COVENTRY 797M 2M,1.45,1,1,0,BIG201,FL190,Flanagan Flooring Ireland
"DT",01/03/22,08,08:28:04,,242937,Remeasure,VINTAGE OAK COLL COVENTRY 797M 2M,0.00,1,0,1,BIG201,,
