,,TASK TYPE BREAKDOWN
""
""
"Task Number",Order No,Product Code,Quantity,Del Date
0001128064,025692,COSISTEP10MM,8.00,09/03/22
0001128066,025694,EPL0352021,60.00,09/03/22
0001128067,025694,NOVO/25PVC,20.00,09/03/22
0001128068,025695,UNISKI/WHITE130MM,5.00,09/03/22
0001128071,025698,EHL016,3.00,09/03/22
0001128077,025705,ECOGOLDDPM,5.00,09/03/22
0001128078,025705,SUPREME4V00621,23.00,09/03/22
0001128085,025712,THERMALAY10M2,25.00,09/03/22
0001128086,025713,EPL1782021,9.00,09/03/22
0001128092,025720,ST4/11,1.99,09/03/22
0001128093,025721,HKF/90,5.18,09/03/22
0001128094,025722,SUPREME4V00607,23.00,09/03/22
0001128095,025723,SUPREME4V/60954,17.00,09/03/22
0001128096,025723,FUND121,3.00,09/03/22
0001128097,025723,UNISCOT/OAK,15.00,09/03/22
0001128100,025726,ECOGOLDDPM,4.00,09/03/22
0001128103,025729,JM40015KG,6.00,09/03/22
0001128104,025730,COSISTEP10MM,12.00,09/03/22
0001128107,025737,FLO/172,4.00,09/03/22
0001128110,025741,LVTUNDERLAY,4.00,09/03/22
0001128111,025741,EPL0892021,52.00,09/03/22
0001128112,025742,SUPLEGLIBERTY,13.00,09/03/22
0001128116,025744,F/LDUALGRIPPER,1.00,09/03/22
0001128117,025744,BLACKDIAMOND,1.00,09/03/22
0001128118,025744,NF12MMFLORENCE,16.00,09/03/22
0001128119,025746,ART4-581,5.11,09/03/22
0001128126,025747,PNE5S9,15.00,09/03/22
0001128128,025731,AFF/880,7.56,09/03/22
0001128130,025750,NOVO/25,6.00,09/03/22
0001128131,025750,UNISCOT/WHITE,40.00,09/03/22
0001128132,025751,1.872MHDXMAPLE,2.00,09/03/22
0001128134,025753,UNISCOT/RUSTICOAK,10.00,09/03/22
0001128135,025754,ROCK4/970M,18.17,09/03/22
0001128136,025756,F777,24.00,09/03/22
0001128143,025760,FAIR/76,2.59,09/03/22
0001128144,025760,FAIR5/76,6.63,09/03/22
0001128145,025760,FAIR/77,21.50,09/03/22
0001128146,025760,EMP/68,16.00,09/03/22
0001128147,025760,COSISTEP10MM,7.00,09/03/22
0001128148,025760,AUTH/166,36.00,09/03/22
0001128149,025761,ALPHA8MM,18.00,09/03/22
0001128150,025761,TIMBERLUX,25.00,09/03/22
0001128151,025761,COSISTEP10MM,25.00,09/03/22
0001128152,025761,GAMMA11MM,10.00,09/03/22
0001128153,025762,JURA/90,2.90,09/03/22
0001128154,025762,JURA/90,3.89,09/03/22
0001128155,025762,COSI10MM,6.00,09/03/22
0001128156,025763,AUTH/129,8.00,09/03/22
0001128157,025763,NEWFIBERBOARD,2.00,09/03/22
0001128158,025764,COSI10MM,10.00,09/03/22
0001128159,025764,F777,72.00,09/03/22
0001128160,025764,EPL1092021,5.00,09/03/22
0001128163,025766,VARNISHED/GREY,16.00,09/03/22
0001128164,025766,EHL014,21.00,09/03/22
0001128165,025767,VOC3/019S,4.50,09/03/22
0001128170,025772,UNISCOT/WHITE,50.00,09/03/22
0001128172,025775,EPL0682021,21.00,09/03/22
0001128173,025775,NOVO/25,7.00,09/03/22
0001124620,023249,ST4/11,7.60,10/03/22
0001124621,023249,ST4/35,7.60,10/03/22
0001124622,023249,ST4/42,7.60,10/03/22
0001124623,023249,ST4/65,7.60,10/03/22
0001124624,023249,ST4/69,7.60,10/03/22
0001124625,023249,ST4/73,7.60,10/03/22
0001124626,023249,ST4/74,7.60,10/03/22
0001124627,023249,ST4/85,7.60,10/03/22
0001124628,023249,ST4/93,7.60,10/03/22
0001124805,023381,EPL1392021,7.00,10/03/22
0001125864,024063,SUP4-69,0.65,10/03/22
0001125865,024063,SUP4-74,0.65,10/03/22
0001125866,024063,SUP4-75,0.65,10/03/22
0001125867,024063,SUP4-78,0.65,10/03/22
0001125868,024063,SUP4-82,0.65,10/03/22
0001125869,024063,SUP4-90,0.65,10/03/22
0001126564,024559,ROCK3/979E,5.22,10/03/22
0001126565,024562,AIM/875,23.70,10/03/22
0001126809,024760,SUP12HYDRO00411,18.00,10/03/22
0001126916,024866,CC4-720,3.05,10/03/22
0001126917,024866,CC4-720,2.75,10/03/22
0001127035,024952,2017GRN083,2.00,10/03/22
0001127040,024960,SUPREME4V00607,24.00,10/03/22
0001127259,025128,VOC3/621L,12.50,10/03/22
0001127316,025178,NF12MMFLORENCE,7.00,10/03/22
0001127370,023458,EHL086,20.00,10/03/22
0001127416,025253,OV3/547,3.65,10/03/22
0001127526,025340,NOTT-76,30.30,10/03/22
0001127535,023249,ST4/79,7.60,10/03/22
0001127536,023249,ST4/92,7.60,10/03/22
0001127583,025354,PNE5G3,45.00,10/03/22
0001127584,025354,P/NE5OA,15.00,10/03/22
0001127585,025354,UNISCOT/OAK,100.00,10/03/22
0001127641,025399,EBL042,52.00,10/03/22
0001127686,025451,ENC5/77,5.94,10/03/22
0001127693,025452,ART2-581,1.30,10/03/22
0001127694,025452,ART2-581,4.00,10/03/22
0001127707,025455,ETE/70,6.70,10/03/22
0001127736,025471,SUP12HYDRO00574,14.00,10/03/22
0001127821,025525,EPL0352021,10.00,10/03/22
0001127868,025557,ROCK3/190L,12.00,10/03/22
0001127869,025557,ROCK3/190L,4.00,10/03/22
0001127870,025557,ROCK3/190L,3.00,10/03/22
0001127871,025557,ROCK3/190L,3.20,10/03/22
0001127900,025580,SUP4-92,4.10,10/03/22
0001127906,025585,VISIOGRANDE44156,5.00,10/03/22
0001127917,025591,SUP12HYDRO00673,16.00,10/03/22
0001127976,025630,THWMGREENWICH,1.00,10/03/22
0001128019,025665,LAY/SCREEDMASTER2ULTLATEX,1.00,10/03/22
0001128020,025665,LAY/SCREEDMASTER2ULTPOWDER,1.00,10/03/22
0001128048,025681,OMEGA10MM,5.00,10/03/22
0001128049,025681,F777,12.00,10/03/22
0001128075,025702,F/LDUALGRIPPER,10.00,10/03/22
0001128079,025706,P220G3,45.00,10/03/22
0001128098,025724,AIM/995,0.80,10/03/22
0001128101,025728,OMEGA10MM,10.00,10/03/22
0001128102,025728,F777,12.00,10/03/22
0001128108,025738,DEV/134,0.65,10/03/22
0001128127,025748,ROCK4/090S,4.13,10/03/22
0001128161,025765,SUPREME4V60957,16.00,10/03/22
0001128162,025765,EPL1362021,24.00,10/03/22
0001128166,025768,CC4-350,6.60,10/03/22
0001128167,025769,CHATA7505-A,27.00,10/03/22
0001128168,025769,CHATB7505-B,27.00,10/03/22
0001128174,025778,VIKTOR/40170,8.00,10/03/22
0001125211,023650,ORKD4/72,4.11,11/03/22
0001125212,023650,ORKD4/72,2.51,11/03/22
0001125213,023650,ORKD4/72,4.34,11/03/22
0001125214,023650,ORKD4/72,3.20,11/03/22
0001125572,023873,EPL0512021,17.00,11/03/22
0001125872,024066,HC4-13,0.65,11/03/22
0001125873,024066,HC4-41,0.65,11/03/22
0001125874,024066,HC4-74,0.65,11/03/22
0001125875,024066,HC4-75,0.65,11/03/22
0001125876,024066,HC4-76,0.65,11/03/22
0001125877,024066,HC4-77,0.65,11/03/22
0001125878,024066,HC4-90,0.65,11/03/22
0001125879,024066,HC4-113,0.65,11/03/22
0001125880,024066,HC4-177,0.65,11/03/22
0001125881,024066,HC4-190,0.65,11/03/22
0001125883,024066,HC4-590,0.65,11/03/22
0001126158,024270,PARA/65,4.75,11/03/22
0001126159,024270,PARA/65,3.66,11/03/22
0001126160,024270,PARA/70,6.00,11/03/22
0001126314,024367,TIMBERLUX,15.00,11/03/22
0001126337,024390,ORION2/607M,1.20,11/03/22
0001126339,024390,EPL1382021,5.00,11/03/22
0001126642,024635,EPL1092021,18.00,11/03/22
0001126644,024640,DYN/45,2.90,11/03/22
0001126731,024715,GAT4/990M,3.40,11/03/22
0001126758,024730,RST61048,20.00,11/03/22
0001127043,024963,SUPREME4V60018,20.00,11/03/22
0001127341,024637,EPL0352021,35.00,11/03/22
0001127436,025275,UNISKI/OAK130MM,30.00,11/03/22
0001127439,025279,TIMBERLUX,6.00,11/03/22
0001127475,020640,TIMBERTEX,50.00,11/03/22
0001127551,025347,ART3-581,30.00,11/03/22
0001127731,025468,EBL044,52.00,11/03/22
0001127732,025468,EBL006,52.00,11/03/22
0001127799,024384,VOC3/162M,2.55,11/03/22
0001127979,025632,EPL1802021,25.00,11/03/22
0001128073,025700,PF-16KGADHESIVE,5.00,11/03/22
0001128083,025710,VOC3/960M,5.64,11/03/22
0001128105,025732,ART2-536,2.06,11/03/22
0001128106,025733,ROMA,10.00,11/03/22
0001128109,025739,HV3-B599,2.20,11/03/22
0001128137,025757,ART4-505,30.00,11/03/22
0001128140,025758,ORION4/670D,6.17,11/03/22
0001128141,025758,ORION4/160M,3.51,11/03/22
0001128142,025758,ORION4/160M,3.12,11/03/22
0001120234,019598,PARA5/71,4.34,14/03/22
0001121826,021238,JURA/275,4.32,14/03/22
0001121828,021238,JURA/73,2.96,14/03/22
0001121829,021238,JURA/73,4.17,14/03/22
0001121830,021238,JURA/73,2.13,14/03/22
0001124112,022894,SUPREME4V60018,7.00,14/03/22
0001125403,023755,EHL016,27.00,14/03/22
0001126285,024350,ART4-505,7.01,14/03/22
0001126513,024513,EPL1802021,16.00,14/03/22
0001126514,024513,SUPER4/512,4.00,14/03/22
0001126795,024748,ROCK2/009L,3.30,14/03/22
0001126796,024748,EAGLE/925,15.00,14/03/22
0001126797,024748,ROCK3/009L,3.10,14/03/22
0001127733,025469,CHATA7311-A,27.00,14/03/22
0001127734,025469,CHATB7311-B,27.00,14/03/22
0001127824,025528,VITSTY00174,8.00,14/03/22
0001127856,025545,ENC/74,3.35,14/03/22
0001128027,025672,HV4-591,2.30,14/03/22
0001128044,025679,ORION4/997L,4.90,14/03/22
0001128082,025709,VOC4/010L,30.00,14/03/22
0001096668,000392,EPL1682021,10.00,15/03/22
0001117626,018166,CHATA7307-A,33.00,15/03/22
0001117627,018166,CHATB7307-B,33.00,15/03/22
0001120641,020331,SUP12HYDRO00411,18.00,15/03/22
0001122226,021485,AUTHHBSUPWALNUT,5.00,15/03/22
0001122227,021485,AUTHHBSUPWALNUT,5.00,15/03/22
0001123218,022274,RST61055,33.00,15/03/22
0001123645,022569,RWT02,4.00,15/03/22
0001123646,022569,LVTUNDERLAY,1.00,15/03/22
0001123838,022673,CHATA7608-A,22.00,15/03/22
0001123839,022673,CHATB7608-B,22.00,15/03/22
0001125587,023884,ROCK3/979D,2.00,15/03/22
0001125824,024045,HV3-591,6.55,15/03/22
0001125917,022939,VISIOGRANDE44156,13.00,15/03/22
0001126535,024528,EPL1662021,4.00,15/03/22
0001127354,018982,SUPLEGTAS,6.00,15/03/22
0001127884,025569,HARRIS/74,2.75,15/03/22
0001127885,025569,HARRIS/174,5.49,15/03/22
0001127901,025581,FLO/75,30.00,15/03/22
0001127920,025594,NF12MMFLORENCE,14.00,15/03/22
0001127969,024856,ROC4/966M,21.47,15/03/22
0001127970,024856,ROC4/966M,8.77,15/03/22
0001123130,022199,AFF/990,4.43,16/03/22
0001123131,022199,AFF/990,3.51,16/03/22
0001127271,025136,SUP12HYDRO00415,10.00,16/03/22
0001127334,025193,ROC3/639M,4.30,16/03/22
0001127347,025210,NEWTRAD/61011,26.00,16/03/22
0001127348,025210,EPL1662021,10.00,16/03/22
0001127450,025288,EPL0352021,45.00,16/03/22
0001127591,025358,ROC3/639M,10.35,16/03/22
0001127592,025358,ROC3/639M,6.70,16/03/22
0001127798,025232,ROC4/639M,7.62,16/03/22
0001127873,025129,HOME12EHL132,14.00,16/03/22
0001127353,021983,SUPLEGTAS,52.00,17/03/22
0001123306,022324,PARA/71,2.75,18/03/22
0001123307,022324,PARA/71,3.53,18/03/22
0001123308,022324,PARA/71,2.59,18/03/22
0001125513,023828,SUPREME4V60957,52.00,18/03/22
0001126581,024575,EPL1092021,7.00,18/03/22
0001126582,024575,ADVENTURE/DONC,20.00,18/03/22
0001127995,025651,EPL0362021,7.00,18/03/22
0001127997,025651,SUPLEGLIBERTY,8.00,18/03/22
0001105802,009467,EPL1662021,4.00,21/03/22
0001123658,022580,1.872MHRMAPLE,35.00,21/03/22
0001124457,023140,CCH4-540,5.20,21/03/22
0001124798,023380,AURA4/544,6.25,21/03/22
0001124799,023380,AURA4/544,2.74,21/03/22
0001126525,024518,SUPLEGLIBERTY,6.00,21/03/22
0001127626,025386,COSISTEP10MM,20.00,21/03/22
0001127691,024698,ROC4/136L,30.00,21/03/22
0001128072,025699,AUTHBMACADSMALL,22.00,21/03/22
0001117777,018256,NEWTRAD/61007,39.00,22/03/22
0001121837,021243,SUPREME4V60957,37.00,22/03/22
0001125329,023734,IONA/76,25.00,22/03/22
0001125330,023734,IONA/76,25.00,22/03/22
0001127844,025537,EPL1102021,17.00,22/03/22
0001127344,025207,SUPREME4V60957,52.00,23/03/22
0001127758,024345,EHL161,20.00,23/03/22
0001125918,022158,VISIOGRANDE44156,6.00,24/03/22
0001127246,025121,SUP12HYDRO00529,12.00,24/03/22
0001127520,025336,EPL0962021,18.00,24/03/22
0001123300,022322,PARA/71,5.74,25/03/22
0001123301,022322,PARA/71,6.10,25/03/22
0001123302,022322,PARA/71,3.05,25/03/22
0001123303,022322,PARA/71,3.05,25/03/22
0001123305,022322,PARA/71,4.27,25/03/22
0001124904,023450,THWMCHELSEA,17.00,25/03/22
0001121847,021247,DEV/144,5.03,28/03/22
0001121848,021247,DEV/144,3.61,28/03/22
0001121849,021247,DEV/144,3.18,28/03/22
0001121850,021247,DEV/144,2.87,28/03/22
0001126449,024477,EHL015,60.00,28/03/22
0001126450,024477,EHL016,60.00,28/03/22
0001127336,025199,VSP60913,9.00,28/03/22
0001127687,023761,ORION2/136M,4.17,28/03/22
0001127759,024477,EHL161,60.00,28/03/22
0001126539,024534,1.872MHDXWALNUT,10.00,29/03/22
0001127227,025107,PARA/78,6.10,30/03/22
0001127670,025437,ROC4/996D,2.52,30/03/22
0001108631,011553,EPL1662021,9.00,31/03/22
0001122120,021404,HBONEHE02500MM,18.00,31/03/22
0001123990,022223,NEWTRAD/61009,10.00,31/03/22
0001123991,022223,NEWTRAD/61009,1.00,31/03/22
0001123992,022223,TIMBERLUX,15.00,31/03/22
0001125099,023584,AUTH/166,30.00,31/03/22
0001125622,022223,NEWTRAD/61009,41.00,31/03/22
0001127275,025141,CHATA7505-A,27.00,31/03/22
0001127276,025141,CHATB7505-B,27.00,31/03/22
0001107770,010995,NEWTRAD/61000,9.00,01/04/22
0001124813,023385,MAJEST/LACQ,42.00,04/04/22
0001127173,025071,PARA/73,5.25,04/04/22
0001127174,025071,PARA/73,5.33,04/04/22
0001127175,025071,PARA/73,2.97,04/04/22
0001127176,025071,PARA/73,2.59,04/04/22
0001127177,025071,PARA/73,2.59,04/04/22
0001127189,025081,JURA/73,4.06,04/04/22
0001127190,025081,JURA/73,3.51,04/04/22
0001127191,025081,JURA/73,4.11,04/04/22
0001127192,025081,JURA/73,3.20,04/04/22
0001127193,025081,JURA/73,2.41,04/04/22
0001120656,020346,SUP12HYDO00618,34.00,05/04/22
0001120657,020346,TIMBERLUX,5.00,05/04/22
0001126806,024758,AUTHHBSUPWALNUT,16.00,05/04/22
0001127041,024958,EPL126,4.00,05/04/22
0001125680,022256,TUDOR/SMKBSHLAC,137.00,07/04/22
0001125681,022256,HBONEHE02500MM,43.00,07/04/22
0001125682,022256,THERMALAY10M2,36.00,07/04/22
0001127351,025140,SUP12HYDRO00574,13.00,07/04/22
0001127178,025072,PARA/75,5.21,08/04/22
0001127179,025072,PARA/75,3.05,08/04/22
0001127180,025072,PARA/75,3.28,08/04/22
0001127181,025072,PARA/75,2.97,08/04/22
0001127182,025072,PARA/75,4.42,08/04/22
0001114002,015614,EPL1672021,5.00,11/04/22
0001122314,014300,XXLCOLATINA12MM,142.00,13/04/22
0001128171,025774,SUPREME4V600959,26.00,13/04/22
0001115927,017081,EPL1662021,5.00,25/04/22
0001127194,025082,JURA/73,3.96,25/04/22
0001127195,025082,JURA/73,3.51,25/04/22
0001127196,025082,JURA/73,3.25,25/04/22
0001127197,025082,JURA/73,4.11,25/04/22
0001127198,025082,JURA/73,2.44,25/04/22
0001128169,025771,SUPREME4V60957,26.00,27/04/22
0001114460,015983,EPL068,18.00,03/05/22
0001117710,018213,EPL1672021,6.00,03/05/22
0001125928,024092,EPL1662021,6.00,09/05/22
0001119512,019523,EPL0682021,7.00,16/05/22
0001121028,020658,EPL068,10.00,23/05/22
0001122567,021749,EPL1682021,7.00,23/05/22
0001123649,022573,NEWTRAD/61013,15.00,03/06/22
0001119258,019341,SUPREME4V60958,15.00,02/08/22
0001016481,943915,AUTHHERRINGPANE,1.00,01/01/01
0001099740,004981,SWATCH/CARPET,2.00,01/01/01
0001100050,005194,SWATCH/VINYL,1.00,01/01/01
0001100785,005275,NOVA4/595,19.80,01/01/01
0001106354,009882,ME4/275,4.00,01/01/01
0001108519,011491,NHF5/875,5.33,01/01/01
0001111651,013824,CHATA7307-A,31.00,01/01/01
0001111652,013824,CHATB7307-B,31.00,01/01/01
0001117630,017171,NF12MMLUCCA,25.00,01/01/01
0001117631,017171,NF12MMLUCCA,6.00,01/01/01
0001118774,018983,THERMALAY10M2,13.00,01/01/01
0001121579,020839,AURA4/534,30.00,01/01/01
0001121580,020839,TEXAS2/592,30.00,01/01/01
0001121581,020839,AURA3/592,21.70,01/01/01
0001121582,020839,TEXAS2/596,20.00,01/01/01
0001121620,020839,AURA4/592,30.00,01/01/01
